Point: x= -3.6, y= -2.4
Point: x= -0.8, y= -4.3
Point: x= -0.5, y= -1.4
Point: x= -3.7, y= -3.5
Point: x= -1.7, y= -0.4
Point: x= -1.9, y= -3.3
Point: x= -0.1, y= -0.3
Point: x= -4.7, y= -3.4
Point: x= -4.7, y= -4.5
Point: x= -4.8, y= -2.5
Point: x= -3.1, y= -3.8
Point: x= -0.4, y= -3.3
Point: x= -2.6, y= -0.1
Point: x= -2.5, y= -4.5
Point: x= -1.0, y= -1.8
Point: x= -4.4, y= -1.7
Point: x= -1.4, y= -0.2
Point: x= -2.9, y= -0.2
Point: x= -3.4, y= -0.8
Point: x= -3.9, y= -3.5
Point: x= -4.5, y= -2.1
Point: x= -4.2, y= -0.3
Totalt: 22 st
